ep,kind,rep_of,t_plus_s,t_minus_s,w_b_rpm,duty,period_s,w_hi_rpm,r_last,X_last,P_last_W,r_mean,X_mean,X_blocks,r_blocks,wall_min,worker,status
103,bo,-1,2.6288460172615524,0.18862065877456646,300.0,0.9330531003688973,2.817466676036119,320.9501373929439,0.2785537313116324,0.39564730842293633,3.7399688529350463,0.2717519348741306,0.38884551198543443,0.365874;0.391649;0.394860;0.396197;0.395647,0.248781;0.274556;0.277766;0.279103;0.278554,193.2432590285937,worker_02,ok
97,bo,-1,2.4287803940049355,0.19138661272106783,300.0,0.926956330558405,2.6201670067260032,321.27627246721784,0.2833770921236677,0.4004604584289187,3.7396427197897175,0.2763772670643002,0.39346063336955117,0.367606;0.398274;0.400432;0.400531;0.400460,0.250522;0.281190;0.283349;0.283448;0.283377,195.40484045743943,worker_35,ok
96,bo,-1,1.7122641532626584,0.26199109894891437,300.0,0.8672962380850042,1.9742552522115728,345.21150850739355,0.2927559995309085,0.40968862865551964,3.7348281742400817,0.2822303011043467,0.399162930228958,0.371849;0.402355;0.404539;0.407383;0.409689,0.254916;0.285423;0.287607;0.290450;0.292756,196.5557132045428,worker_00,ok
110,bo,-1,1.1594584253290505,0.8584824061453794,300.0,0.5745750357218748,2.01794083147443,517.4978093650144,0.2624880577430862,0.3781144039074517,3.6931054964898347,0.25457754027008134,0.37020388643444735,0.344425;0.370650;0.377760;0.380070;0.378114,0.228799;0.255024;0.262134;0.264443;0.262488,193.75856807231904,worker_29,ok
102,bo,-1,1.9321080777642892,0.180463277270268,300.0,0.9145764819539948,2.1125713550345573,327.2491080022122,0.2937675988393628,0.41088993109091243,3.7408872921144947,0.2837721809333646,0.4008945131849143,0.369806;0.403788;0.409145;0.410843;0.410890,0.252684;0.286666;0.292023;0.293721;0.293768,196.64287305672963,worker_40,ok
113,bo,-1,1.08,0.2,300.0,0.84375,1.28,354.53038343781964,0.2896954596420502,0.40688807269824273,3.7431320610147907,0.28215355514054635,0.3993461681967389,0.371289;0.402503;0.406764;0.409287;0.406888,0.254096;0.285311;0.289571;0.292094;0.289695,194.2134863058726,worker_31,ok
105,bo,-1,4.983979298307923,1.7261255021879351,300.0,0.7427572961214586,6.710104800495858,391.2802971261824,0.276138992164095,0.3917930875254496,3.6939918058416668,0.2688587428787617,0.3845128382401164,0.359875;0.387686;0.391429;0.391781;0.391793,0.244221;0.272032;0.275775;0.276127;0.276139,196.49609180291495,worker_28,ok
107,bo,-1,5.0,3.4000000000000004,300.0,0.5952380952380952,8.4,493.5941684545937,0.2501911220281182,0.3652800248338931,3.6759395556164502,0.2451416918966453,0.36023059470242025,0.347074;0.361621;0.370665;0.356513;0.365280,0.231985;0.246532;0.255576;0.241424;0.250191,197.34697874387106,worker_03,ok
106,bo,-1,4.984555666115641,1.4537161709100137,300.0,0.774207084182143,6.438271837025654,386.39531740310025,0.274942909306304,0.3909054733492931,3.703844295533072,0.26810720956118284,0.384069773604172,0.362109;0.387246;0.389842;0.390247;0.390905,0.246146;0.271283;0.273880;0.274284;0.274943,197.54951663414639,worker_13,ok
115,bo,-1,1.021790762234653,0.2791219544216772,300.0,0.7854414436511236,1.3009127166563301,381.7146854515639,0.2843017424617939,0.4010340725803209,3.728430623985753,0.2754276381459371,0.39215996826446414,0.363403;0.392830;0.400609;0.402923;0.401034,0.246671;0.276098;0.283877;0.286191;0.284302,194.87074078321456,worker_14,ok
111,bo,-1,5.0,2.9,300.0,0.6329113924050632,7.9,450.80952522536643,0.26622855170244303,0.38156636443847763,3.683889738788945,0.2602182101522538,0.37555602288828827,0.354453;0.378415;0.381630;0.381716;0.381566,0.239115;0.263077;0.266292;0.266378;0.266229,197.3138243317604,worker_34,ok
104,bo,-1,1.0,1.0,300.0,0.5,2.0,599.9999999999997,0.2527446236701799,0.368413641268884,3.694468422102607,0.24737155315430184,0.3630405707530059,0.341711;0.365348;0.371216;0.368514;0.368414,0.226042;0.249679;0.255547;0.252845;0.252745,199.64078950484594,worker_37,ok
122,bo,-1,5.0,3.7,300.0,0.574712643678161,8.7,520.0182311968028,0.24457953743316213,0.3591159632134344,3.6582934394218976,0.2417439935847078,0.3562804193649801,0.345336;0.357847;0.359803;0.359300;0.359116,0.230800;0.243311;0.245267;0.244763;0.244580,186.816091132164,worker_21,ok
119,bo,-1,4.76462253988587,0.4802806043824037,300.0,0.9084290803525583,5.2449031442682745,327.4495737395335,0.2871205893775557,0.40372569768007505,3.724367159182468,0.28252067414319665,0.3991257824457161,0.371447;0.407058;0.410353;0.403045;0.403726,0.254842;0.290453;0.293748;0.286440;0.287121,195.10365906159083,worker_43,ok
114,bo,-1,4.985190642816812,2.235794759207635,300.0,0.69037539411438,7.220985402024446,404.2647757460821,0.2706244496494516,0.38633782667873223,3.6958852623152234,0.2644933949072133,0.3802067719364939,0.357479;0.383471;0.387295;0.386450;0.386338,0.241766;0.267758;0.271582;0.270737;0.270624,197.87395404577256,worker_42,ok
120,bo,-1,1.1782909700431206,0.17632916535122722,300.0,0.8698312827751555,1.354620135394348,344.36292576254186,0.2907038596279647,0.40794311835027913,3.744621923590723,0.2812896211451811,0.3985288798674952,0.368957;0.401661;0.405677;0.408406;0.407943,0.251718;0.284422;0.288437;0.291167;0.290704,195.14940824508668,worker_18,ok
116,bo,-1,5.0,2.7,300.0,0.6493506493506493,7.7,435.70555645341443,0.26788942003045474,0.3833380359377551,3.687428792079175,0.26232953591478586,0.3777781518220863,0.358731;0.380609;0.382950;0.383263;0.383338,0.243283;0.265161;0.267501;0.267814;0.267889,197.89087362289428,worker_20,ok
118,bo,-1,5.0,2.0,300.0,0.7142857142857143,7.0,389.97123486746557,0.271759862521146,0.38762703419414823,3.7007974632356926,0.2652128041442758,0.3810799758172781,0.357845;0.384653;0.387812;0.387463;0.387627,0.241978;0.268786;0.271945;0.271596;0.271760,197.68208970228832,worker_38,ok
117,bo,-1,5.0,3.2,300.0,0.6097560975609757,8.2,475.54151586538114,0.26743181209657163,0.3826164322882678,3.678996768922775,0.2579382267538466,0.37312284694554265,0.345450;0.373809;0.381669;0.382071;0.382616,0.230265;0.258624;0.266484;0.266886;0.267432,201.1862021247546,worker_41,ok
