t,Mz_kin,conv,cupC,wallFlux
49.046604,1.4049398e-08,0.36040159,31.979921,8.4349901e-09
49.047394,1.4046946e-08,0.34970821,32.51459,8.4284533e-09
49.048278,1.4044704e-08,0.33951471,33.024264,8.4162436e-09
49.049276,1.4043116e-08,0.33175986,33.412007,8.3995337e-09
49.050421,1.4042718e-08,0.32738452,33.630774,8.3798583e-09
49.051745,1.4044189e-08,0.3272783,33.636085,8.3603537e-09
49.053248,1.4048109e-08,0.33425016,33.287492,8.3503009e-09
49.054642,1.4052815e-08,0.35192472,32.403764,8.3694806e-09
49.055373,1.4054148e-08,0.36334882,31.832559,8.3908208e-09
49.056136,1.4054228e-08,0.37131483,31.434259,8.4145095e-09
49.056812,1.4053252e-08,0.37215492,31.392254,8.4304539e-09
49.057492,1.405155e-08,0.36740925,31.629538,8.4381144e-09
49.058179,1.4049409e-08,0.35916572,32.041714,8.4375241e-09
49.058926,1.4046994e-08,0.34982132,32.508934,8.4304944e-09
49.05976,1.4044611e-08,0.34138887,32.930557,8.4184974e-09
49.060698,1.4042678e-08,0.33479885,33.260057,8.4026122e-09
49.061768,1.4041685e-08,0.3303074,33.48463,8.3838219e-09
49.063007,1.4042269e-08,0.32835783,33.582108,8.363558e-09
49.064427,1.4045105e-08,0.33095617,33.452191,8.3473712e-09
49.066026,1.4050618e-08,0.34386348,32.806826,8.3525581e-09
49.066975,1.4053295e-08,0.35811636,32.094182,8.3734137e-09
49.067748,1.4054208e-08,0.36905229,31.547386,8.3974145e-09
49.068465,1.405386e-08,0.37387193,31.306403,8.4183923e-09
49.069149,1.4052627e-08,0.37204764,31.397618,8.4322107e-09
49.069832,1.4050801e-08,0.36496736,31.751632,8.4370286e-09
49.070543,1.404861e-08,0.35519851,32.240075,8.4338327e-09
49.071332,1.4046253e-08,0.34535435,32.732282,8.4245615e-09
49.072216,1.404412e-08,0.33733435,33.133282,8.4107345e-09
49.073215,1.404266e-08,0.33183298,33.408351,8.3932611e-09
49.074359,1.4042416e-08,0.32907906,33.546047,8.3735667e-09
49.075683,1.4044068e-08,0.32971294,33.514353,8.3548419e-09
49.077186,1.4048197e-08,0.3366461,33.167695,8.3475294e-09
49.07858,1.4053095e-08,0.35338137,32.330931,8.3694037e-09
49.079312,1.405453e-08,0.36430484,31.784758,8.3905725e-09
49.080075,1.4054715e-08,0.37222906,31.388547,8.4139737e-09
49.080751,1.4053832e-08,0.37326438,31.336781,8.4300859e-09
49.081431,1.4052219e-08,0.36854851,31.572574,8.438534e-09
49.082118,1.4050166e-08,0.35995694,32.002153,8.4389673e-09
49.082865,1.4047843e-08,0.34983298,32.508351,8.4327036e-09
49.083698,1.404556e-08,0.34059533,32.970233,8.4211769e-09
49.084636,1.404373e-08,0.33361844,33.319078,8.4055486e-09
49.085705,1.4042847e-08,0.32923795,33.538102,8.3867162e-09
49.086944,1.4043545e-08,0.32772007,33.613997,8.3661035e-09
49.088362,1.404649e-08,0.33053714,33.473143,8.3496441e-09
49.089959,1.4052093e-08,0.34301596,32.849202,8.3554965e-09
49.090913,1.4054856e-08,0.35648519,32.17574,8.3775277e-09
49.091686,1.4055821e-08,0.36668825,31.665588,8.4012634e-09
49.092403,1.4055518e-08,0.37140339,31.429831,8.4213235e-09
49.093087,1.4054321e-08,0.36997059,31.501471,8.4338715e-09
49.093771,1.4052527e-08,0.3637363,31.813185,8.4382524e-09
49.094481,1.4050363e-08,0.35475687,32.262157,8.4354434e-09
49.095272,1.404803e-08,0.34533418,32.733291,8.426729e-09
49.096155,1.4045918e-08,0.33739387,33.130307,8.4133427e-09
49.097154,1.4044475e-08,0.33174973,33.412513,8.3963598e-09
49.098298,1.4044239e-08,0.32891606,33.554197,8.3769111e-09
49.099622,1.4045891e-08,0.32959313,33.520344,8.3578634e-09
49.101125,1.4050006e-08,0.33674548,33.162726,8.3501261e-09
49.102513,1.4054836e-08,0.35368153,32.315924,8.3729027e-09
49.103245,1.405625e-08,0.36433325,31.783337,8.3954807e-09
49.104008,1.4056411e-08,0.3715093,31.424535,8.4196103e-09
49.104684,1.4055507e-08,0.37188472,31.405764,8.4353139e-09
49.105365,1.4053874e-08,0.36677047,31.661476,8.4427906e-09
49.106052,1.4051801e-08,0.35816898,32.091551,8.4420031e-09
49.106799,1.4049454e-08,0.3485301,32.573495,8.4347679e-09
49.107633,1.4047143e-08,0.33999286,33.000357,8.422643e-09
49.108573,1.4045284e-08,0.33343681,33.32816,8.4065693e-09
49.109644,1.404437e-08,0.32927397,33.536301,8.3873663e-09
49.110884,1.4045033e-08,0.32824332,33.587834,8.3668766e-09
49.112304,1.4047938e-08,0.3318191,33.409045,8.3504421e-09
49.113904,1.4053499e-08,0.34528772,32.735614,8.3555846e-09
49.114846,1.4056148e-08,0.35982562,32.008719,8.3776279e-09
49.115619,1.405705e-08,0.37046698,31.476651,8.4026415e-09
49.116335,1.4056689e-08,0.374743,31.26285,8.4239734e-09
49.117019,1.4055443e-08,0.37241933,31.379033,8.4374129e-09
49.117702,1.4053605e-08,0.3649626,31.75187,8.4420094e-09
49.118413,1.4051396e-08,0.35488574,32.255713,8.4388175e-09
49.119203,1.4049018e-08,0.34479458,32.760271,8.4296736e-09
49.120086,1.4046858e-08,0.33678137,33.160931,8.416041e-09
49.121085,1.4045362e-08,0.33147832,33.426084,8.3988762e-09
49.122229,1.4045067e-08,0.32899787,33.550106,8.3793473e-09
49.123553,1.404665e-08,0.32992187,33.503907,8.3604443e-09
49.125056,1.405069e-08,0.33703568,33.148216,8.3520379e-09
49.126456,1.4055533e-08,0.35386685,32.306657,8.373018e-09
49.127187,1.405692e-08,0.3652507,31.737465,8.3948006e-09
49.127951,1.4057053e-08,0.37326192,31.336904,8.4193819e-09
49.128627,1.4056118e-08,0.37400065,31.299968,8.4360515e-09
49.129308,1.4054452e-08,0.36880291,31.559855,8.4445828e-09
49.129994,1.4052343e-08,0.35980188,32.009906,8.4446201e-09
49.130741,1.4049956e-08,0.3491599,32.542005,8.4375044e-09
49.131575,1.4047597e-08,0.33969154,33.015423,8.4251805e-09
49.132512,1.4045683e-08,0.33277533,33.361234,8.4088983e-09
49.133582,1.4044702e-08,0.32876795,33.561602,8.3896073e-09
49.13482,1.4045282e-08,0.32784369,33.607816,8.3687777e-09
49.136238,1.4048093e-08,0.3312082,33.43959,8.3517868e-09
49.137835,1.4053546e-08,0.34423161,32.788419,8.3569779e-09
49.138787,1.4056207e-08,0.358046,32.0977,8.3794287e-09
49.139561,1.4057097e-08,0.36829912,31.585044,8.4039291e-09
49.140278,1.4056727e-08,0.37266709,31.366646,8.4245585e-09
49.140962,1.4055468e-08,0.37079561,31.460219,8.4373845e-09
49.141646,1.4053614e-08,0.36404251,31.797874,8.4417579e-09
49.142356,1.4051387e-08,0.35469199,32.2654,8.4386464e-09
49.143146,1.4048985e-08,0.34507011,32.746494,8.4297066e-09
49.144029,1.4046796e-08,0.33706556,33.146722,8.4162371e-09
49.145028,1.4045267e-08,0.33132484,33.433758,8.3991844e-09
49.146172,1.4044938e-08,0.32808812,33.595594,8.3797322e-09
49.147496,1.4046484e-08,0.32842851,33.578575,8.3608138e-09
49.149,1.4050487e-08,0.33538751,33.230625,8.3527098e-09
49.15039,1.4055238e-08,0.35226992,32.386504,8.3741019e-09
49.151122,1.4056601e-08,0.36365519,31.81724,8.3956184e-09
49.151884,1.405671e-08,0.37175089,31.412456,8.4194687e-09
49.15256,1.4055759e-08,0.37272112,31.363944,8.4355789e-09
49.15324,1.405408e-08,0.3678652,31.60674,8.4439174e-09
49.153927,1.4051959e-08,0.35908199,32.0459,8.443794e-09
49.154674,1.4049563e-08,0.34901737,32.549131,8.4369182e-09
49.155506,1.4047198e-08,0.3401432,32.99284,8.4249273e-09
49.156444,1.4045275e-08,0.3336926,33.31537,8.4089775e-09
49.157513,1.4044286e-08,0.32980627,33.509687,8.3899705e-09
49.158752,1.4044864e-08,0.32868031,33.565985,8.3693519e-09
49.16017,1.4047678e-08,0.33163724,33.418138,8.3528451e-09
49.16177,1.4053157e-08,0.3440579,32.797105,8.3580425e-09
49.162727,1.4055851e-08,0.35789032,32.105484,8.3797584e-09
49.163499,1.4056753e-08,0.36833578,31.583211,8.4036453e-09
49.164217,1.405639e-08,0.37310439,31.34478,8.4244043e-09
49.164901,1.4055135e-08,0.37144732,31.427634,8.437575e-09
49.165584,1.4053283e-08,0.36464811,31.767594,8.4422956e-09
49.166294,1.4051058e-08,0.3550379,32.248105,8.4393086e-09
49.167084,1.4048657e-08,0.34511373,32.744314,8.43041e-09
49.167967,1.4046469e-08,0.33695252,33.152374,8.4169378e-09
49.168965,1.404494e-08,0.3313694,33.43153,8.3998273e-09
49.170108,1.4044606e-08,0.32854983,33.572508,8.380303e-09
49.171431,1.4046147e-08,0.32917723,33.541138,8.3611873e-09
49.172935,1.4050154e-08,0.33613693,33.193153,8.3522766e-09
49.17433,1.4054939e-08,0.35324344,32.337828,8.3731741e-09
49.175061,1.4056312e-08,0.36429958,31.785021,8.3951028e-09
49.175823,1.4056431e-08,0.37193046,31.403477,8.4189548e-09
